"date","time","size","version","os","country","ip_id"
"2023-07-23","04:02:18",94633694,"4.3.1","osx","CH",157
"2023-07-23","04:02:28",94633383,"4.3.1","osx","CH",157
"2023-07-23","04:02:23",82192982,"4.3.1","win","CN",162
"2023-07-23","04:02:29",94633310,"4.3.1","osx","CH",157
"2023-07-23","04:03:02",82188055,"4.3.1","win","BR",163
"2023-07-23","04:03:06",82191307,"4.3.1","win","RU",164
"2023-07-23","04:03:00",82192675,"4.3.1","win","CO",165
"2023-07-23","04:03:57",94632560,"4.3.1","osx","KR",166
"2023-07-23","04:04:10",82190037,"4.3.1","win","MX",167
"2023-07-23","21:09:01",82097725,"4.3.1","win",NA,2
"2023-07-23","21:09:19",84383488,"devel","win","US",168
"2023-07-23","21:09:24",82189733,"4.3.1","win","CL",169
"2023-07-23","21:09:35",92946722,"4.2.3","osx","US",147
"2023-07-23","21:09:39",93050679,"4.2.3","osx","RO",170
"2023-07-23","21:09:50",84383488,"devel","win","US",171
"2023-07-23","21:09:59",92946723,"4.2.3","osx","US",145
"2023-07-23","21:10:08",82188751,"4.3.1","win","CH",172
"2023-07-23","21:10:17",82097716,"4.3.1","win","US",173
"2023-07-23","21:10:35",82188039,"4.3.1","win",NA,2
"2023-07-23","21:10:46",82189009,"4.3.1","win","UA",174
"2023-07-23","21:10:47",82190376,"4.3.1","win","US",175
"2023-07-23","21:10:57",387,"4.3.1","osx","BR",176
"2023-07-23","21:10:57",7109710,"4.3.1","osx","BR",176
"2023-07-23","21:11:11",82189542,"4.3.1","win","US",177
"2023-07-23","21:11:20",94638495,"4.3.1","osx","BR",176
"2023-07-23","21:11:48",13447541,"4.3.1","win",NA,2
"2023-07-23","21:11:51",82189795,"4.3.1","win",NA,2
"2023-07-23","21:12:18",94634164,"4.3.1","osx","ES",178
"2023-07-23","21:12:22",991240,"4.2.3","src","US",179
"2023-07-23","21:12:28",32482319,"4.3.1","win","US",180
"2023-07-23","21:12:49",94635413,"4.3.1","osx","US",181
"2023-07-23","21:13:07",1418410,"4.2.3","src","US",182
"2023-07-23","21:13:20",82193918,"4.3.1","win","US",183
"2023-07-23","21:13:30",82097726,"4.3.1","win",NA,2
"2023-07-23","21:11:37",21339475,"4.3.1","win","BF",184
"2023-07-23","21:12:15",20330808,"4.3.1","win","BF",184
"2023-07-23","06:00:01",92946726,"4.2.3","osx","US",145
"2023-07-23","06:00:19",14117233,"4.3.1","win","US",185
"2023-07-23","06:00:50",84383461,"devel","win",NA,2
"2023-07-23","06:00:48",83692681,"patched.exe","win",NA,2
"2023-07-23","06:01:18",82097721,"4.3.1",NA,"DE",158
"2023-07-23","06:01:23",1958975,"4.2.3","src","US",186
"2023-07-23","06:01:40",82097721,"4.3.1","win","US",187
"2023-07-23","06:01:58",79538101,"4.2.2","win","US",188
"2023-07-23","06:02:11",84383488,"devel","win","US",189
"2023-07-23","06:02:27",92946726,"4.2.3","osx","US",147
"2023-07-23","06:03:01",79538103,"4.2.2","win","US",190
"2023-07-23","06:03:18",82189225,"4.3.1","win","KR",191
"2023-07-23","06:03:16",82188625,"4.3.1","win",NA,2
"2023-07-23","06:03:24",82188033,"4.3.1","win",NA,2
"2023-07-23","06:03:45",4199862,"4.2.2","src","US",34
"2023-07-23","20:44:09",82189407,"4.3.1","win","US",192
"2023-07-23","20:44:24",93049380,"4.2.3","osx","US",193
"2023-07-23","20:44:37",97058490,"4.3.1","osx","CA",194
"2023-07-23","20:44:46",94636235,"4.3.1","osx","CO",195
"2023-07-23","20:44:40",9928276,"4.3.1","win","ID",196
"2023-07-23","20:45:43",82194484,"4.3.1","win",NA,2
"2023-07-23","20:45:43",94635062,"4.3.1","osx","GB",197
"2023-07-23","20:46:02",4199373,"4.2.3","src","US",198
"2023-07-23","20:45:46",82191163,"4.3.1","win","US",199
"2023-07-23","20:46:08",82190147,"4.3.1","win",NA,2
"2023-07-23","20:46:39",82191999,"4.3.1","win","NL",200
"2023-07-23","20:45:09",1050166,"4.3.1","win",NA,2
"2023-07-23","20:47:16",82193900,"4.3.1","win",NA,2
"2023-07-23","20:47:29",82189714,"4.3.1","win","CL",201
"2023-07-23","20:47:40",82194521,"4.3.1","win","CO",202
"2023-07-23","20:47:42",82097722,"4.3.1","win","DK",203
"2023-07-23","20:47:28",82189963,"4.3.1","win","US",204
"2023-07-23","20:48:03",82187802,"4.3.1","win","US",205
"2023-07-23","20:48:04",94632975,"4.3.1","osx","US",206
"2023-07-23","20:48:54",94633182,"4.3.1","osx",NA,2
"2023-07-23","02:09:15",82194581,"4.3.1","win","RO",207
"2023-07-23","02:09:33",82188642,"4.3.1","win","CN",208
"2023-07-23","02:10:04",79837056,"4.2.3","win","US",209
"2023-07-23","02:11:38",84380356,"devel","win","US",210
"2023-07-23","02:11:51",82097726,"4.3.1","win","CN",211
"2023-07-23","02:11:48",82097726,"4.3.1","win",NA,2
"2023-07-23","02:12:07",82190201,"4.3.1","win",NA,2
"2023-07-23","02:12:05",82190513,"4.3.1","win",NA,2
"2023-07-23","02:12:18",6298787,"4.3.1","win",NA,2
"2023-07-23","02:12:35",92946723,"4.2.3","osx","US",212
"2023-07-23","02:12:40",82187905,"4.3.1","win",NA,2
"2023-07-23","02:12:47",82097725,"4.3.1","win",NA,2
"2023-07-23","02:12:09",573630,"4.3.1","win",NA,2
"2023-07-23","02:11:17",94633281,"4.3.1","osx",NA,2
"2023-07-23","02:13:16",92946723,"4.2.3","osx","US",213
"2023-07-23","02:13:09",82189444,"4.3.1","win",NA,2
"2023-07-23","02:13:28",82188801,"4.3.1","win","US",214
"2023-07-23","02:13:39",82193737,"4.3.1","win","US",215
"2023-07-23","02:11:46",92946723,"4.2.3","osx","US",109
"2023-07-23","02:13:47",84380355,"devel","win","US",216
"2023-07-23","02:14:02",92946722,"4.2.3","osx","US",217
"2023-07-23","02:14:08",82196084,"4.3.1","win","HK",218
"2023-07-23","15:24:34",82189191,"4.3.1","win","FR",219
"2023-07-23","15:24:27",82190020,"4.3.1","win","US",220
"2023-07-23","15:24:47",4416989,"4.1.3","win",NA,2
"2023-07-23","15:24:54",93050037,"4.2.3","osx","JP",221
"2023-07-23","15:25:17",82189821,"4.3.1","win","IN",222
"2023-07-23","15:25:07",82189976,"4.3.1","win",NA,2
"2023-07-23","15:25:36",82188977,"4.3.1","win","UA",223
"2023-07-23","15:25:50",90741481,"4.1.3","win",NA,2
"2023-07-23","15:25:53",94632678,"4.3.1","osx","US",224
"2023-07-23","15:26:32",4836470,"4.3.1","win","MA",225
"2023-07-23","15:27:14",34940464,"4.3.1","src","CH",226
"2023-07-23","15:27:33",82190360,"4.3.1","win","CH",226
"2023-07-23","15:27:48",3500766,"4.2.3","src","US",227
"2023-07-23","15:28:10",82097726,"4.3.1","win","US",228
"2023-07-23","15:28:24",82192278,"4.3.1","win",NA,2
"2023-07-23","15:28:24",82188496,"4.3.1","win",NA,2
"2023-07-23","15:28:23",97052956,"4.3.1","osx",NA,2
"2023-07-23","15:28:35",90635517,"4.1.3","win","US",229
"2023-07-23","15:28:43",35743866,"4.3.1","win",NA,2
"2023-07-23","15:28:49",82189118,"4.3.1","win","CA",230
"2023-07-23","10:09:10",656481,"4.3.1","win",NA,2
"2023-07-23","10:09:11",4199914,"4.2.2","src","US",231
"2023-07-23","10:09:34",90548875,"4.1.1","osx","US",147
"2023-07-23","10:09:26",84383485,"devel","win","US",232
"2023-07-23","10:09:31",92946726,"4.2.3","osx","US",109
"2023-07-23","10:09:37",90548876,"4.1.1","osx","US",233
"2023-07-23","10:09:45",82188715,"4.3.1","win",NA,2
"2023-07-23","10:09:52",82188193,"4.3.1","win","AU",234
"2023-07-23","10:09:51",82189589,"4.3.1","win","NZ",235
"2023-07-23","10:09:54",84383485,"devel","win","US",236
"2023-07-23","10:10:04",92946726,"4.2.3","osx","US",109
"2023-07-23","10:10:19",82189452,"4.3.1","win","US",237
